# Конфигурация квиза: ремонт квартиры
# Скопируйте блок Вопросы в лист «Вопросы», блок Варианты в лист «Варианты».

[Вопросы]
question_id	question_text	question_type	sort_order	is_active
1	Тип ремонта?	single	1	TRUE
2	Площадь квартиры?	single	2	TRUE
3	Сроки выполнения?	single	3	TRUE
4	Нужен дизайн-проект?	single	4	TRUE
5	Черновые материалы включать?	single	5	TRUE
6	Где находится объект?	single	6	TRUE

[Варианты]
option_id	question_id	option_text	price_modifier	sort_order	is_active
101	1	Косметический ремонт	10000	1	TRUE
102	1	Капитальный ремонт	30000	2	TRUE
103	1	Дизайнерский ремонт	60000	3	TRUE
201	2	До 30 м²	10000	1	TRUE
202	2	31–60 м²	25000	2	TRUE
203	2	61–100 м²	45000	3	TRUE
204	2	Больше 100 м²	70000	4	TRUE
301	3	Стандартные сроки	0	1	TRUE
302	3	Срочно	20000	2	TRUE
401	4	Не нужен	0	1	TRUE
402	4	Нужен базовый план	15000	2	TRUE
403	4	Нужен полный дизайн-проект	45000	3	TRUE
501	5	Нет, материалы заказчика	0	1	TRUE
502	5	Да, базовые материалы	30000	2	TRUE
503	5	Да, материалы под ключ	70000	3	TRUE
601	6	В городе	0	1	TRUE
602	6	За городом	10000	2	TRUE
