# Конфигурация квиза: клининг
# Скопируйте блок Вопросы в лист «Вопросы», блок Варианты в лист «Варианты».

[Вопросы]
question_id	question_text	question_type	sort_order	is_active
1	Площадь помещения?	single	1	TRUE
2	Тип помещения?	single	2	TRUE
3	Тип уборки?	single	3	TRUE
4	Нужна химчистка мебели?	single	4	TRUE
5	Нужна мойка окон?	single	5	TRUE
6	Нужен срочный выезд?	single	6	TRUE

[Варианты]
option_id	question_id	option_text	price_modifier	sort_order	is_active
101	1	До 50 м²	2000	1	TRUE
102	1	50–100 м²	4000	2	TRUE
103	1	100–200 м²	6000	3	TRUE
104	1	Больше 200 м²	10000	4	TRUE
201	2	Квартира	0	1	TRUE
202	2	Дом	2000	2	TRUE
203	2	Офис	3000	3	TRUE
204	2	Склад / коммерческое помещение	5000	4	TRUE
301	3	Разовая уборка	0	1	TRUE
302	3	Регулярная уборка	-1000	2	TRUE
303	3	После ремонта	3000	3	TRUE
304	3	Генеральная уборка	6000	4	TRUE
401	4	Нет	0	1	TRUE
402	4	Да, 1–2 предмета	3000	2	TRUE
403	4	Да, много мебели	7000	3	TRUE
501	5	Нет	0	1	TRUE
502	5	Да	2000	2	TRUE
601	6	Нет	0	1	TRUE
602	6	Да	4000	2	TRUE
