# Конфигурация квиза: создание сайта
# Скопируйте блок Вопросы в лист «Вопросы», блок Варианты в лист «Варианты».

[Вопросы]
question_id	question_text	question_type	sort_order	is_active
1	Тип сайта?	single	1	TRUE
2	Количество страниц?	single	2	TRUE
3	Дизайн?	single	3	TRUE
4	Интеграции?	single	4	TRUE
5	Нужен контент?	single	5	TRUE
6	Срок запуска?	single	6	TRUE

[Варианты]
option_id	question_id	option_text	price_modifier	sort_order	is_active
101	1	Лендинг	5000	1	TRUE
102	1	Корпоративный сайт	15000	2	TRUE
103	1	Интернет-магазин	30000	3	TRUE
201	2	1–3 страницы	0	1	TRUE
202	2	4–10 страниц	5000	2	TRUE
203	2	11–50 страниц	12000	3	TRUE
204	2	Больше 50 страниц	25000	4	TRUE
301	3	Шаблонный дизайн	0	1	TRUE
302	3	Индивидуальный дизайн	10000	2	TRUE
303	3	Дизайн-система	25000	3	TRUE
401	4	Не нужны	0	1	TRUE
402	4	Форма заявки + таблица	5000	2	TRUE
403	4	CRM / платежи / внешние сервисы	18000	3	TRUE
501	5	Контент готов	0	1	TRUE
502	5	Нужна редактура	5000	2	TRUE
503	5	Нужно написать тексты	12000	3	TRUE
601	6	Стандартный срок	0	1	TRUE
602	6	Срочно	7000	2	TRUE
